model,hyperparameters,time,accuracy
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 46, 'accuracy': 0.7956989247311828}",0.0091099739074707,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 3, 'accuracy': 0.8387096774193549}",0.039874792098999,0.8387096774193549
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 15, 'accuracy': 0.7849462365591398}",0.0492393970489501,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 51, 'accuracy': 0.7849462365591398}",0.0610835552215576,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 14, 'accuracy': 0.7903225806451613}",0.0670902729034423,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 42, 'accuracy': 0.8064516129032258}",0.0738141536712646,0.8064516129032258
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 29, 'accuracy': 0.7688172043010753}",0.023822546005249,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 52, 'accuracy': 0.8064516129032258}",0.0985355377197265,0.8064516129032258
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 45, 'accuracy': 0.7741935483870968}",0.0251693725585937,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 28, 'accuracy': 0.7903225806451613}",0.073848009109497,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 38, 'accuracy': 0.7849462365591398}",0.0230469703674316,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 2, 'accuracy': 0.7956989247311828}",0.1266629695892334,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': None, 'accuracy': 0.7688172043010753}",0.0633065700531005,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'accuracy': 0.7849462365591398}",0.0886929035186767,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 52, 'accuracy': 0.7903225806451613}",0.0329647064208984,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 55, 'accuracy': 0.7849462365591398}",0.0591108798980712,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 33, 'accuracy': 0.7741935483870968}",0.0389914512634277,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 3, 'accuracy': 0.8440860215053764}",0.0408453941345214,0.8440860215053764
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 40, 'accuracy': 0.7903225806451613}",0.0338382720947265,0.7903225806451613
